sample_id,pop,origin,data type,,,,,
1_S2_L003.hc.vcf.gz,OR,Lab,gDNA,,,,104_S18_L003.hc.vcf.gz,LE
104_S18_L003.hc.vcf.gz,LE,Lab,gDNA,,,,107_S26_L003.hc.vcf.gz,LE
107_S26_L003.hc.vcf.gz,LE,Lab,gDNA,,,,109_S3_L003.hc.vcf.gz,LE
109_S3_L003.hc.vcf.gz,LE,Lab,gDNA,,,,111_S37_L003.hc.vcf.gz,LE
111_S37_L003.hc.vcf.gz,LE,Lab,gDNA,,,,112_S17_L003.hc.vcf.gz,LE
112_S17_L003.hc.vcf.gz,LE,Lab,gDNA,,,,130_S40_L003.hc.vcf.gz,EG
130_S40_L003.hc.vcf.gz,EG,Lab,gDNA,,,,135_S27_L003.hc.vcf.gz,EG
135_S27_L003.hc.vcf.gz,EG,Lab,gDNA,,,,138_S7_L003.hc.vcf.gz,EG
138_S7_L003.hc.vcf.gz,EG,Lab,gDNA,,,,142_S34_L003.hc.vcf.gz,EG
14_S16_L003.hc.vcf.gz,OR,Lab,gDNA,,,,146_S23_L003.hc.vcf.gz,EG
142_S34_L003.hc.vcf.gz,EG,Lab,gDNA,,,,14_S16_L003.hc.vcf.gz,OR
146_S23_L003.hc.vcf.gz,EG,Lab,gDNA,,,,154_S28_L003.hc.vcf.gz,EG
154_S28_L003.hc.vcf.gz,EG,Lab,gDNA,,,,161_S13_L003.hc.vcf.gz,EG
161_S13_L003.hc.vcf.gz,EG,Lab,gDNA,,,,163_S22_L003.hc.vcf.gz,EG
163_S22_L003.hc.vcf.gz,EG,Lab,gDNA,,,,167_S11_L003.hc.vcf.gz,EG
167_S11_L003.hc.vcf.gz,EG,Lab,gDNA,,,,169_S24_L003.hc.vcf.gz,EG
169_S24_L003.hc.vcf.gz,EG,Lab,gDNA,,,,17_S21_L003.hc.vcf.gz,OR
17_S21_L003.hc.vcf.gz,OR,Lab,gDNA,,,,1_S2_L003.hc.vcf.gz,OR
2_S1_L003.hc.vcf.gz,OR,Lab,gDNA,,,,24_S31_L003.hc.vcf.gz,OR
24_S31_L003.hc.vcf.gz,OR,Lab,gDNA,,,,25_S14_L003.hc.vcf.gz,OR
25_S14_L003.hc.vcf.gz,OR,Lab,gDNA,,,,26_S10_L003.hc.vcf.gz,OR
26_S10_L003.hc.vcf.gz,OR,Lab,gDNA,,,,27_S32_L003.hc.vcf.gz,BRE
27_S32_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,2_S1_L003.hc.vcf.gz,OR
32_S5_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,32_S5_L003.hc.vcf.gz,BRE
38_S20_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,38_S20_L003.hc.vcf.gz,BRE
48_S4_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,48_S4_L003.hc.vcf.gz,BRE
51_S33_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,51_S33_L003.hc.vcf.gz,BRE
55_S25_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,55_S25_L003.hc.vcf.gz,BRE
6_S8_L003.hc.vcf.gz,OR,Lab,gDNA,,,,68_S9_L003.hc.vcf.gz,BRE
68_S9_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,6_S8_L003.hc.vcf.gz,OR
7_S12_L003.hc.vcf.gz,OR,Lab,gDNA,,,,72_S35_L003.hc.vcf.gz,BRE
72_S35_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,7_S12_L003.hc.vcf.gz,OR
80_S39_L003.hc.vcf.gz,BRE,Lab,gDNA,,,,80_S39_L003.hc.vcf.gz,BRE
84_S15_L003.hc.vcf.gz,LE,Lab,gDNA,,,,84_S15_L003.hc.vcf.gz,LE
86_S6_L003.hc.vcf.gz,LE,Lab,gDNA,,,,86_S6_L003.hc.vcf.gz,LE
90_S19_L003.hc.vcf.gz,LE,Lab,gDNA,,,,90_S19_L003.hc.vcf.gz,LE
